actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[의미심장한 음악] [사이렌이 울린다],00:00:43,00:00:43,00:00:43
설명,[분위기가 고조되는 음악],00:01:15,00:01:15,00:01:15
설명,[카메라 셔터음],00:01:39,00:01:39,00:01:39
설명,[차분한 음악],00:02:14,00:02:14,00:02:14
빈센조,"""바벨""",00:02:29,00:02:29,00:02:29
준우,"그래, 내 동생, 얘기해 봐",00:02:38,00:02:38,00:02:38
한서,우리 바벨제약 창고 불탔던 거 기억들 하시죠?,00:02:40,00:02:40,00:02:40
승혁,예,00:02:43,00:02:43,00:02:43
승혁,빈센조랑 홍차영 쪽 외에 나머지 4명의 범인,00:02:43,00:02:43,00:02:43
승혁,"알아냈습니다, 어떻게?",00:02:47,00:02:47,00:02:47
한서,우리 바벨이랑 법적으로 적대 관계에 있는,00:02:51,00:02:51,00:02:51
한서,"약 3천7백여 명의 통화, SNS 문자 기록을 싹 다 뒤지게 했죠",00:02:54,00:02:54,00:02:54
한서,그랬더니,00:02:59,00:02:59,00:02:59
승혁,아,00:03:06,00:03:06,00:03:06
설명,[의미심장한 음악],00:03:07,00:03:07,00:03:07
승혁,진짜 내 동생다워,00:03:11,00:03:11,00:03:11
승혁,정말 무식해,00:03:14,00:03:14,00:03:14
설명,[준우의 웃음],00:03:15,00:03:15,00:03:15
피해자 가족1,다들 고생 많으셨어요,00:03:18,00:03:18,00:03:18
피해자 가족2,모두 안 다치신 거죠?,00:03:20,00:03:20,00:03:20
피해자 가족3,불타는 거 보니 정말 속이 뻥 뚫리더라고요,00:03:21,00:03:21,00:03:21
피해자 가족4,하늘에 있는 우리 아들도 기뻐할 거예요,00:03:25,00:03:25,00:03:25
피해자 가족4,바벨제약 피해자 가족들…,00:03:29,00:03:29,00:03:29
설명,[헛웃음],00:03:32,00:03:32,00:03:32
설명,[준우의 한숨],00:03:36,00:03:36,00:03:36
준우,동생,00:03:37,00:03:37,00:03:37
준우,우리 화 한번 제대로 풀어 보자,00:03:39,00:03:39,00:03:39
준우,"형님, 거기 길종문 원장도 포함시키죠",00:03:43,00:03:43,00:03:43
준우,[웃으며] 그래,00:03:46,00:03:46,00:03:46
설명,[웃음],00:03:52,00:03:52,00:03:52
설명,[카메라 셔터음],00:04:25,00:04:25,00:04:25
설명,[총성],00:04:26,00:04:26,00:04:26
설명,[총성],00:04:29,00:04:29,00:04:29
설명,[차분한 음악],00:04:34,00:04:34,00:04:34
형사1,"아니, 변호사님",00:04:58,00:04:58,00:04:58
형사1,유서까지 문자로 받아 놓고 타살 가능성이라니요,00:04:59,00:04:59,00:04:59
차영,친필도 아니고 문자 조작은 얼마든지 가능해요,00:05:03,00:05:03,00:05:03
차영,그리고,00:05:05,00:05:05,00:05:05
차영,어제 저한테 보낸 사진이에요,00:05:07,00:05:07,00:05:07
차영,함께 여행 가시기 전에요,00:05:09,00:05:09,00:05:09
차영,이게 자살할 사람들 표정이에요?,00:05:11,00:05:11,00:05:11
차영,자살하는 사람들 엄청 충동적이에요,00:05:12,00:05:12,00:05:12
형사1,웃고 잘 놀다가도,00:05:15,00:05:15,00:05:15
형사1,그다음 날 바로 극단적인 선택을 한다고요,00:05:16,00:05:16,00:05:16
형사1,한꺼번에 4명이요?,00:05:18,00:05:18,00:05:18
차영,4명이서 같이 충동적으로 자살을 한다고요?,00:05:20,00:05:20,00:05:20
형사1,이분들 멘탈 안 좋잖아요,00:05:23,00:05:23,00:05:23
형사1,"가족을 잃은 슬픔에, 재판은 져",00:05:25,00:05:25,00:05:25
형사1,거기다 이런저런 사람들이 다 욕해,00:05:27,00:05:27,00:05:27
형사1,자살 동기 충분합니다,00:05:30,00:05:30,00:05:30
차영,당신 의견 필요 없고,00:05:33,00:05:33,00:05:33
차영,부검하고 수사하라고,00:05:35,00:05:35,00:05:35
차영,부검 영장 신청합니다,00:05:37,00:05:37,00:05:37
형사2,타살 흔적도 없고,00:05:39,00:05:39,00:05:39
형사2,1차 감식에서도 타살의 정황은 없다고 나왔다고요,00:05:41,00:05:41,00:05:41
형사2,난 정확한 사인이 알고 싶다고요,00:05:45,00:05:45,00:05:45
형사2,영장 당장 신청하라고!,00:05:48,00:05:48,00:05:48
형사1,이 양반이 정말!,00:05:49,00:05:49,00:05:49
형사1,자꾸 이러면은 공무 집행 방해예요,00:05:51,00:05:51,00:05:51
형사1,불만 있으면 소송을 하든 뭘 하든 마음대로 하든가,00:05:53,00:05:53,00:05:53
빈센조,형사님,00:05:57,00:05:57,00:05:57
빈센조,정말 마음대로 해도 되겠습니까?,00:06:00,00:06:00,00:06:00
빈센조,얼마든지,00:06:02,00:06:02,00:06:02
빈센조,"가시죠, 변호사님",00:06:08,00:06:08,00:06:08
설명,[떨리는 숨소리],00:06:11,00:06:11,00:06:11
설명,[차영의 한숨],00:06:13,00:06:13,00:06:13
설명,[차영의 한숨],00:06:19,00:06:19,00:06:19
설명,[의미심장한 음악],00:06:20,00:06:20,00:06:20
설명,[차영이 훌쩍인다],00:06:41,00:06:41,00:06:41
설명,[한숨],00:06:48,00:06:48,00:06:48
설명,[코를 훌쩍인다],00:06:49,00:06:49,00:06:49
빈센조,눈물은 이걸로 끝낼 거예요,00:06:55,00:06:55,00:06:55
빈센조,죄책감 접어 두고,00:07:01,00:07:01,00:07:01
빈센조,더 효율적이고 실용적인 생각을 해요,00:07:04,00:07:04,00:07:04
빈센조,"예, 당연히 그래야죠",00:07:07,00:07:07,00:07:07
빈센조,그런데 쉽게 접어질 것 같진 않아요,00:07:14,00:07:14,00:07:14
빈센조,적어도 이 네 사람이,00:07:16,00:07:16,00:07:16
빈센조,바벨제약 창고를 불태우게 한 건 후회하지 말자고요,00:07:19,00:07:19,00:07:19
빈센조,이분들 바람이었고 위안이 됐으니까요,00:07:23,00:07:23,00:07:23
빈센조,영장은 100% 안 나올 거고,00:07:27,00:07:27,00:07:27
빈센조,사건은 깔끔하게 지워지겠죠?,00:07:31,00:07:31,00:07:31
빈센조,상관없어요,00:07:36,00:07:36,00:07:36
빈센조,판결은 내가 할 거니까,00:07:39,00:07:39,00:07:39
빈센조,난 지금까지 악당들하고만 싸워 왔어요,00:07:44,00:07:44,00:07:44
빈센조,죽이든 죽든 우리끼리 해 왔죠,00:07:47,00:07:47,00:07:47
빈센조,하지만 이 네 사람은,00:07:50,00:07:50,00:07:50
빈센조,악당은커녕 악당 근처에도 있던 사람들이 아니었어요,00:07:53,00:07:53,00:07:53
빈센조,이분들이 흘린 피의 대가,00:08:00,00:08:00,00:08:00
빈센조,반드시 치르게 할 겁니다,00:08:03,00:08:03,00:08:03
빈센조,이건 나한테 정의의 문제가 아니라,00:08:07,00:08:07,00:08:07
빈센조,지금까지 내가 지켜 온 룰에 관한 문제예요,00:08:10,00:08:10,00:08:10
빈센조,확실한 건,00:08:16,00:08:16,00:08:16
빈센조,지금 네 분에게 필요한 사람은,00:08:18,00:08:18,00:08:18
빈센조,변호사가 아니라는 거예요,00:08:21,00:08:21,00:08:21
설명,[빈센조의 한숨],00:08:28,00:08:28,00:08:28
빈센조,마음 더 차갑게 해요,00:08:31,00:08:31,00:08:31
빈센조,복수는 냉정할수록 성공률이 높아요,00:08:35,00:08:35,00:08:35
설명,[어두운 음악] [멀리서 사이렌이 울린다],00:08:51,00:08:51,00:08:51
형사2,선배님,00:08:55,00:08:55,00:08:55
형사1,아,00:08:57,00:08:57,00:08:57
형사1,"아유, 1차 감식 검안 기록은 다 처리했지?",00:08:59,00:08:59,00:08:59
형사1,"예, 다 누락시켰습니다",00:09:01,00:09:01,00:09:01
형사1,우상 쪽에 연락해,00:09:03,00:09:03,00:09:03
형사1,처리 완료했으니까 배달하라고,00:09:05,00:09:05,00:09:05
형사2,충성,00:09:08,00:09:08,00:09:08
형사1,응,00:09:08,00:09:08,00:09:08
설명,[헛기침],00:09:13,00:09:13,00:09:13
홍식,"어유, 이 새끼들 사람 새끼들이 진짜, 도대체",00:09:20,00:09:20,00:09:20
홍식,"아니, 무슨 이런…",00:09:23,00:09:23,00:09:23
설명,[한숨],00:09:25,00:09:25,00:09:25
홍식,"죄송합니다, 스님",00:09:28,00:09:28,00:09:28
적하,"아닙니다, 제 마음을 대신 말씀해 주셨습니다",00:09:29,00:09:29,00:09:29
연진,자살이 아니라 타살이 확실해요?,00:09:32,00:09:32,00:09:32
연진,"예, 물증은 없는데 심증은 완전 빼박이에요",00:09:34,00:09:34,00:09:34
연진,하룻밤에 7명을 죽인 거라고요?,00:09:39,00:09:39,00:09:39
설명,[사람들의 한숨],00:09:41,00:09:41,00:09:41
연진,말도 안 돼,00:09:42,00:09:42,00:09:42
연진,"아니, 이건 뭐, 연쇄 살인범도 아니고",00:09:44,00:09:44,00:09:44
토토,"아니, 지금",00:09:47,00:09:47,00:09:47
토토,"이걸 제대로 수사도 안 하고 끝, 끝내겠다는 거야, 지금, 어?",00:09:48,00:09:48,00:09:48
기석,[테이블을 탁 치며] 법이 그렇대요,00:09:51,00:09:51,00:09:51
기석,검찰에서 영장 안 주면 아무것도 못 한다 그러더라고요,00:09:53,00:09:53,00:09:53
기석,"아, 이건 정말 말이 안 됩니다",00:09:55,00:09:55,00:09:55
기석,[테이블을 톡톡 두드리며] 어떻게든 벌을 받게 해야지요,00:09:57,00:09:57,00:09:57
기석,혹시 그런 생각들 안 해요?,00:10:00,00:10:00,00:10:00
기석,우리도 그렇게 될 수 있다는 거요 [의미심장한 음악],00:10:06,00:10:06,00:10:06
희수,우리가 왜?,00:10:09,00:10:09,00:10:09
희수,바벨 새끼들 금싸라기 땅 위에서,00:10:10,00:10:10,00:10:10
희수,타워 못 짓게 막고 있는 게 우리잖아요,00:10:12,00:10:12,00:10:12
홍식,그러네,00:10:14,00:10:14,00:10:14
홍식,바벨한테 최고의 골칫덩어리는 우리여,00:10:16,00:10:16,00:10:16
홍식,살생부 1번,00:10:19,00:10:19,00:10:19
설명,[희수의 놀란 숨소리],00:10:21,00:10:21,00:10:21
주성,겁먹게 해 드리는 건 아니지만,00:10:23,00:10:23,00:10:23
주성,전당포 사장님 말씀에 일리가 있습니다,00:10:26,00:10:26,00:10:26
토토,"아니, 잠깐",00:10:29,00:10:29,00:10:29
토토,그럼 우리 술 먹고 집에 들어가다가,00:10:30,00:10:30,00:10:30
토토,"나, 납치라도 되면",00:10:32,00:10:32,00:10:32
미리,아니,00:10:35,00:10:35,00:10:35
