actor,script,start_time,end_time,duration
설명,[주제곡],00:00:01,00:00:01,00:00:01
설명,[차분한 음악],00:00:43,00:00:43,00:00:43
설명,[의미심장한 음악],00:01:36,00:01:36,00:01:36
명희,"아니, 도대체 어떤 쌰발라가",00:01:38,00:01:38,00:01:38
명희,"지금 뭐, 조사하고 있다니까",00:01:40,00:01:40,00:01:40
명희,결과 기다려 봐야죠,00:01:41,00:01:41,00:01:41
명희,"바벨제약, 이, 타격이 엄청날 텐데?",00:01:43,00:01:43,00:01:43
명희,타격 정도가 아니라 이거 완전히 쓰나미예요,00:01:45,00:01:45,00:01:45
명희,"아, 뒷수습 어떡하지, 이거?",00:01:49,00:01:49,00:01:49
명희,"그, 그래, 알았다, 내일 보자",00:01:51,00:01:51,00:01:51
명희,"뭐야, 이건 또?",00:01:55,00:01:55,00:01:55
설명,[풀벌레 울음],00:01:57,00:01:57,00:01:57
설명,[준우의 개운한 신음],00:02:02,00:02:02,00:02:02
준우,어,00:02:05,00:02:05,00:02:05
한서,"형님, 저한테 복수할 기회 한 번만 주십시오",00:02:08,00:02:08,00:02:08
한서,제가 누군지 알아내서,00:02:10,00:02:10,00:02:10
한서,아주 그냥 제대로 박살을 내 버리겠습니다,00:02:11,00:02:11,00:02:11
준우,"헤이, 헤이!",00:02:13,00:02:13,00:02:13
준우,"하, 네가 무슨 수로 알아내, 응?",00:02:15,00:02:15,00:02:15
준우,괜히 오버하지 말고,00:02:19,00:02:19,00:02:19
준우,"내가 시킨 일이나 잘하자, 응?",00:02:22,00:02:22,00:02:22
준우,"아, 저도 할 수 있는 게 있습니다!",00:02:24,00:02:24,00:02:24
준우,큰소리 내고 그래?,00:02:27,00:02:27,00:02:27
준우,형 놀라게,00:02:29,00:02:29,00:02:29
준우,[한숨 쉬며] 아니…,00:02:30,00:02:30,00:02:30
준우,한서야,00:02:35,00:02:35,00:02:35
한서,"형님, 형님",00:02:36,00:02:36,00:02:36
설명,[한서의 힘겨운 신음] [긴장되는 음악],00:02:38,00:02:38,00:02:38
한서,회장님 소리 계속 들으니까,00:02:39,00:02:39,00:02:39
한서,약 먹은 것처럼 미쳐 버린 거야?,00:02:42,00:02:42,00:02:42
한서,"아니, 그게 아니고요, 형님, 형님",00:02:44,00:02:44,00:02:44
