구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년02월20일,1630.89,1535.86,1532.35,1572.43,1542.51,1556.67,1539.62,1566.02,1562.39,1558.05,1555.18,1546.58,1549.25,1542.08,1541.12,1645.93,1558.21
2022년02월21일,1636.28,1538.62,1535.61,1575.40,1546.48,1557.92,1543.83,1569.43,1564.67,1561.09,1558.45,1549.81,1551.85,1544.89,1544.84,1646.06,1562.37
2022년02월22일,1639.30,1542.94,1538.13,1579.39,1549.06,1560.48,1546.37,1573.02,1567.98,1564.78,1561.66,1553.02,1555.51,1548.24,1548.49,1646.17,1565.34
2022년02월23일,1643.00,1545.90,1541.65,1582.59,1553.40,1563.70,1548.58,1576.44,1572.60,1569.51,1566.13,1556.76,1560.36,1551.81,1552.25,1677.42,1567.06
2022년02월24일,1645.32,1550.10,1545.13,1584.19,1557.32,1566.02,1553.28,1580.12,1576.62,1573.31,1569.33,1560.14,1565.03,1554.48,1556.57,1690.79,1569.09
2022년02월25일,1648.62,1555.71,1550.04,1586.40,1563.10,1573.63,1560.62,1584.12,1580.44,1579.15,1574.18,1565.90,1570.58,1560.72,1562.38,1694.01,1574.95
2022년02월26일,1650.47,1560.70,1555.33,1591.37,1568.72,1578.30,1564.68,1588.72,1584.27,1582.20,1578.55,1569.78,1575.17,1566.10,1566.92,1695.82,1577.65
2022년02월27일,1651.64,1560.78,1557.58,1594.42,1570.93,1579.84,1568.33,1590.04,1585.73,1584.44,1580.21,1571.55,1576.72,1567.88,1566.84,1695.92,1580.08
2022년02월28일,1655.06,1564.09,1560.13,1597.68,1574.74,1582.25,1572.77,1592.80,1588.56,1587.40,1583.27,1575.06,1580.11,1570.92,1570.61,1695.99,1581.17
2022년03월01일,1662.89,1567.07,1564.90,1600.73,1578.31,1587.07,1577.27,1597.60,1594.11,1593.43,1588.76,1578.98,1584.19,1575.08,1575.00,1695.96,1588.53
2022년03월02일,1665.95,1571.43,1569.52,1602.85,1583.67,1593.67,1580.97,1601.27,1598.77,1596.50,1593.45,1583.60,1588.56,1579.85,1580.09,1695.99,1593.53
2022년03월03일,1672.77,1583.07,1577.93,1610.58,1591.20,1602.26,1589.57,1607.75,1606.30,1603.52,1600.16,1590.91,1595.76,1587.34,1589.49,1696.10,1605.27
2022년03월04일,1688.04,1599.34,1594.82,1620.90,1604.58,1621.17,1601.44,1619.10,1618.16,1618.98,1613.83,1602.73,1606.02,1600.33,1608.30,1696.05,1615.14
2022년03월05일,1708.77,1613.41,1614.42,1638.57,1613.96,1640.04,1618.98,1635.61,1635.32,1638.95,1630.80,1617.97,1618.39,1622.81,1631.48,1812.12,1639.26
2022년03월06일,1719.76,1620.46,1626.40,1649.49,1622.81,1655.98,1632.44,1647.35,1645.52,1652.32,1642.06,1626.98,1625.53,1634.34,1644.58,1816.66,1658.62
