구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년02월20일,1796.87,1703.60,1712.93,1739.55,1723.40,1734.86,1713.52,1742.79,1734.01,1738.86,1734.47,1733.93,1723.89,1722.93,1715.98,1788.11,1730.03
2022년02월21일,1801.70,1705.98,1716.10,1742.53,1725.98,1735.65,1716.24,1745.54,1735.88,1741.68,1737.17,1736.63,1726.27,1725.07,1718.86,1788.07,1734.27
2022년02월22일,1804.97,1709.47,1717.95,1746.33,1728.10,1737.25,1719.21,1748.71,1738.36,1744.78,1739.98,1739.27,1729.13,1728.08,1721.94,1788.26,1737.65
2022년02월23일,1807.99,1712.06,1721.17,1748.72,1731.10,1740.15,1721.21,1751.75,1742.11,1748.45,1743.79,1743.01,1733.37,1731.15,1725.25,1813.50,1739.05
2022년02월24일,1810.54,1716.21,1724.15,1750.41,1734.83,1741.93,1723.90,1754.42,1745.45,1751.87,1746.36,1746.38,1737.02,1733.84,1728.76,1825.60,1740.35
2022년02월25일,1814.06,1722.06,1729.06,1752.19,1739.55,1747.36,1729.46,1758.18,1749.09,1757.02,1751.39,1751.51,1742.18,1739.43,1734.24,1829.11,1745.35
2022년02월26일,1815.12,1726.90,1734.05,1757.11,1744.08,1750.78,1734.24,1762.34,1752.91,1759.88,1754.63,1755.33,1746.37,1744.22,1738.17,1830.82,1747.21
2022년02월27일,1816.31,1727.91,1736.43,1759.91,1746.37,1752.45,1737.41,1763.73,1754.79,1762.09,1756.50,1757.08,1748.00,1746.07,1738.08,1830.93,1749.33
2022년02월28일,1820.53,1730.18,1738.31,1761.63,1749.55,1753.42,1741.63,1765.84,1756.99,1764.61,1758.70,1760.35,1750.74,1748.30,1741.98,1830.97,1750.41
2022년03월01일,1827.78,1734.51,1743.44,1765.19,1753.38,1759.40,1746.33,1770.39,1762.05,1769.26,1763.59,1763.72,1754.71,1752.46,1746.29,1830.95,1756.32
2022년03월02일,1831.46,1737.72,1747.18,1767.28,1758.69,1765.21,1749.57,1773.52,1766.06,1772.92,1768.11,1767.83,1758.43,1756.96,1750.44,1831.11,1759.58
2022년03월03일,1838.42,1749.39,1755.31,1775.40,1766.68,1774.16,1758.23,1779.59,1773.22,1779.41,1774.51,1775.00,1765.15,1764.25,1758.78,1831.47,1768.98
2022년03월04일,1852.99,1764.44,1771.38,1784.71,1780.36,1791.79,1770.11,1790.31,1783.73,1790.76,1785.80,1786.02,1774.65,1776.53,1774.46,1831.82,1781.80
2022년03월05일,1871.08,1777.52,1789.83,1800.79,1791.20,1810.46,1789.07,1805.10,1797.33,1804.96,1801.50,1800.58,1785.34,1799.28,1792.23,1916.33,1801.21
2022년03월06일,1881.63,1784.42,1801.56,1811.28,1798.63,1825.44,1804.23,1815.32,1805.21,1814.69,1811.04,1808.90,1791.92,1810.76,1802.64,1918.43,1813.05
2022년03월07일,1899.26,1810.33,1818.28,1824.44,1812.98,1847.29,1822.93,1830.88,1815.59,1831.03,1826.73,1825.31,1803.23,1825.05,1819.97,1920.95,1830.36
2022년03월08일,1931.48,1885.77,1846.38,1857.29,1844.44,1890.92,1862.38,1862.13,1838.54,1857.79,1857.10,1850.53,1830.75,1855.46,1857.92,1958.80,1858.62
2022년03월09일,1960.83,1925.82,1878.52,1894.26,1874.75,1930.13,1896.24,1895.28,1866.24,1885.27,1892.14,1876.04,1861.70,1886.77,1893.52,1973.12,1886.18
2022년03월10일,1986.22,1934.65,1906.07,1916.16,1892.57,1957.85,1920.31,1917.52,1885.50,1910.41,1912.68,1897.25,1886.90,1908.83,1912.17,1973.97,1904.09
2022년03월11일,2020.22,1954.34,1938.33,1940.88,1917.70,1982.82,1945.88,1945.70,1908.11,1935.33,1940.05,1920.73,1914.45,1930.48,1934.13,1977.55,1935.52
2022년03월12일,2045.34,1968.54,1965.23,1987.09,1934.86,1996.88,1976.27,1973.54,1940.59,1959.85,1962.48,1942.97,1936.88,1952.79,1956.05,2076.15,1957.36
2022년03월13일,2054.23,1977.41,1975.92,1994.52,1944.56,2003.32,1989.32,1986.06,1955.63,1969.39,1971.13,1952.25,1945.88,1963.06,1964.95,2087.30,1967.36
2022년03월14일,2067.11,1993.40,1989.16,1998.90,1958.12,2012.63,2005.17,2000.65,1966.88,1984.06,1984.74,1964.91,1958.29,1974.59,1976.07,2091.49,1978.62
2022년03월15일,2086.11,2003.95,1997.49,2022.98,1969.07,2020.07,2012.90,2016.14,1978.53,1997.65,1996.42,1974.80,1971.61,1986.03,1986.98,2106.01,1993.85
2022년03월16일,2090.91,2007.74,1996.26,2031.63,1974.06,2019.41,2009.50,2020.40,1985.24,2001.72,1999.77,1976.62,1976.93,1987.51,1988.63,2105.47,1999.89
2022년03월17일,2088.23,2006.99,1993.55,2034.96,1974.98,2015.11,2004.02,2018.61,1987.41,2003.13,2000.04,1974.35,1978.47,1986.75,1986.28,2105.05,2001.03
2022년03월18일,2082.39,2002.63,1992.52,2034.68,1975.26,2011.48,2001.70,2016.82,1989.53,2002.28,1999.23,1973.18,1979.21,1987.23,1984.39,2117.80,2002.47
2022년03월19일,2077.96,2001.63,1989.85,2035.30,1973.72,2009.91,1999.20,2016.47,1991.57,2002.81,1999.07,1973.14,1980.08,1986.62,1983.99,2117.84,1997.62
2022년03월20일,2077.64,2000.66,1989.34,2033.74,1974.13,2009.96,1996.96,2016.23,1993.11,2002.74,1999.58,1973.08,1980.87,1986.55,1984.35,2118.72,1997.92
2022년03월21일,2081.35,2000.13,1988.81,2030.22,1973.61,2009.33,1995.06,2015.72,1993.81,2003.44,1999.74,1973.41,1981.33,1986.56,1983.92,2117.02,1998.53
2022년03월22일,2080.19,1995.45,1989.12,2026.68,1974.29,2008.40,1993.22,2014.67,1995.17,2003.23,2000.06,1974.21,1983.64,1986.69,1983.35,2117.08,1999.36
2022년03월23일,2078.05,1993.20,1988.69,2023.91,1976.03,2006.70,1992.02,2014.10,1996.27,2003.76,2001.65,1976.02,1985.66,1987.55,1983.80,2095.67,1998.91
2022년03월24일,2076.02,1992.44,1989.21,2017.64,1976.98,2006.77,1992.00,2013.71,1996.19,2003.82,2002.64,1977.86,1987.32,1988.16,1984.10,2092.67,2001.52
2022년03월25일,2073.66,1990.83,1988.51,2015.06,1977.05,2005.05,1990.37,2013.21,1997.19,2004.42,2003.82,1979.14,1988.53,1988.75,1984.80,2091.98,2003.26
2022년03월26일,2066.69,1988.56,1987.51,2010.87,1975.72,2004.91,1989.88,2012.50,1997.82,2004.56,2003.67,1979.67,1989.64,1989.58,1984.87,2048.18,2001.67
2022년03월27일,2066.41,1988.52,1987.51,2009.64,1976.31,2004.82,1990.04,2012.45,1998.48,2004.90,2004.32,1980.15,1990.09,1990.33,1984.96,2046.75,2001.97
2022년03월28일,2071.55,1988.92,1987.58,2005.13,1977.30,2004.96,1989.49,2012.00,1999.18,2005.17,2005.08,1980.45,1991.22,1990.63,1984.90,2045.34,2002.56
2022년03월29일,2070.10,1987.75,1985.95,1997.89,1976.16,2004.64,1988.69,2011.03,1999.35,2005.01,2004.70,1980.74,1992.48,1990.35,1984.81,2038.29,2002.71
2022년03월30일,2068.86,1985.72,1984.33,1992.62,1976.93,2003.04,1988.42,2009.33,1999.06,2004.39,2004.21,1980.87,1992.53,1989.85,1983.86,2034.18,2001.65
2022년03월31일,2065.75,1984.41,1982.01,1989.31,1976.34,2002.57,1986.79,2008.12,1998.68,2003.46,2003.55,1980.84,1992.23,1989.18,1982.65,2031.82,2000.89
2022년04월01일,2063.49,1980.97,1978.69,1986.06,1974.35,1998.25,1982.87,2005.27,1996.43,2002.27,2001.15,1979.69,1990.97,1987.14,1980.44,2030.54,1999.76
2022년04월02일,2054.99,1979.85,1975.62,1982.31,1974.24,1996.07,1981.37,2002.31,1996.16,2001.10,2000.47,1979.20,1992.89,1986.33,1979.34,2030.12,1997.64
2022년04월03일,2052.74,1979.43,1975.74,1981.63,1974.09,1995.11,1980.51,2001.11,1995.79,2000.71,2000.15,1979.09,1992.86,1986.08,1978.97,2031.10,1997.56
2022년04월04일,2054.64,1977.60,1972.98,1979.21,1972.55,1992.39,1978.00,1998.59,1994.90,1999.91,1998.25,1977.59,1991.31,1983.83,1977.70,2029.45,1995.38
